"cc","firm","produce","sales_in","sales_out","year","month"
"125CC","YAMAHA",12031,10145,1804,2020,7
"150CC","YAMAHA",3282,3073,202,2020,7
"50CC","KYMCO",223,0,712,2020,7
"100CC","KYMCO",5433,4633,707,2020,7
"110CC","KYMCO",1999,2034,0,2020,7
"125CC","KYMCO",20424,19148,916,2020,7
"150CC","KYMCO",6223,2505,3686,2020,7
"250CC","KYMCO",1871,0,1871,2020,7
"90CC","KYMCO",0,0,0,2020,7
"50CC","PGO",227,0,225,2020,7
"100CC","PGO",0,0,0,2020,7
"110CC","PGO",1,12,0,2020,7
"125CC","PGO",1634,1491,139,2020,7
"150CC","PGO",106,66,44,2020,7
"50CC","SYM",0,0,0,2020,6
"90CC","SYM",0,0,0,2020,6
"100CC","SYM",325,342,0,2020,6
"110CC","SYM",6549,6692,0,2020,6
"125CC","SYM",11212,10947,728,2020,6
"150CC","SYM",627,695,6,2020,6
"250CC","SYM",303,2,223,2020,6
"50CC","SUZUKI",300,0,162,2020,6
"100CC","SUZUKI",0,0,0,2020,6
"125CC","SUZUKI",1020,1078,24,2020,6
"90CC","SUZUKI",240,0,54,2020,6
"250CC","SUZUKI",0,0,0,2020,6
"50CC","YAMAHA",48,0,48,2020,6
"100CC","YAMAHA",0,0,0,2020,6
"125CC","YAMAHA",11018,10454,564,2020,6
"150CC","YAMAHA",1952,1880,72,2020,6
"50CC","KYMCO",1674,0,1198,2020,6
"100CC","KYMCO",3825,3395,440,2020,6
"110CC","KYMCO",2800,2752,0,2020,6
"125CC","KYMCO",15982,15679,455,2020,6
"150CC","KYMCO",5229,2352,2940,2020,6
"250CC","KYMCO",2931,0,3518,2020,6
"90CC","KYMCO",0,0,0,2020,6
"50CC","PGO",49,0,49,2020,6
"100CC","PGO",0,0,0,2020,6
"110CC","PGO",0,23,0,2020,6
"125CC","PGO",1487,1518,3,2020,6
"150CC","PGO",98,103,0,2020,6
"50CC","SYM",0,0,0,2020,5
"90CC","SYM",0,0,0,2020,5
"100CC","SYM",375,357,0,2020,5
"110CC","SYM",4897,4928,110,2020,5
"125CC","SYM",14334,13488,779,2020,5
"150CC","SYM",445,386,0,2020,5
"250CC","SYM",10,4,135,2020,5
"50CC","SUZUKI",60,0,0,2020,5
"100CC","SUZUKI",0,0,0,2020,5
"125CC","SUZUKI",1200,1205,0,2020,5
"90CC","SUZUKI",240,0,0,2020,5
"250CC","SUZUKI",0,0,0,2020,5
"50CC","YAMAHA",192,0,416,2020,5
"100CC","YAMAHA",0,0,0,2020,5
"125CC","YAMAHA",5385,4961,584,2020,5
"150CC","YAMAHA",1348,1160,234,2020,5
"50CC","KYMCO",1519,0,1555,2020,5
"100CC","KYMCO",4431,4002,235,2020,5
"110CC","KYMCO",2123,2081,0,2020,5
"125CC","KYMCO",17005,15972,1122,2020,5
"150CC","KYMCO",3760,1734,1826,2020,5
"250CC","KYMCO",3303,0,3016,2020,5
"90CC","KYMCO",0,0,0,2020,5
"50CC","PGO",290,0,290,2020,5
"100CC","PGO",0,0,0,2020,5
"110CC","PGO",0,30,18,2020,5
"125CC","PGO",1449,1385,67,2020,5
"150CC","PGO",193,89,100,2020,5
"50CC","SYM",14040,0,14040,2020,4
"90CC","SYM",0,0,0,2020,4
"100CC","SYM",1120,417,720,2020,4
"110CC","SYM",5257,4107,968,2020,4
"125CC","SYM",14638,12666,1481,2020,4
"150CC","SYM",372,355,0,2020,4
"250CC","SYM",30,0,75,2020,4
"50CC","SUZUKI",240,0,60,2020,4
"100CC","SUZUKI",0,0,0,2020,4
"125CC","SUZUKI",1101,903,288,2020,4
"90CC","SUZUKI",180,0,60,2020,4
"250CC","SUZUKI",0,0,0,2020,4
"50CC","YAMAHA",672,0,544,2020,4
"100CC","YAMAHA",0,0,0,2020,4
"125CC","YAMAHA",10735,9525,1086,2020,4
"150CC","YAMAHA",1554,1190,354,2020,4
"50CC","KYMCO",2409,0,2846,2020,4
"100CC","KYMCO",3565,3577,4,2020,4
"110CC","KYMCO",1750,1904,0,2020,4
"125CC","KYMCO",25103,16808,9129,2020,4
"150CC","KYMCO",4444,3025,1472,2020,4
"250CC","KYMCO",2603,0,2159,2020,4
"90CC","KYMCO",14,0,0,2020,4
"50CC","PGO",235,0,235,2020,4
"100CC","PGO",0,0,0,2020,4
"110CC","PGO",0,189,16,2020,4
"125CC","PGO",1484,1429,112,2020,4
"150CC","PGO",106,110,0,2020,4
"50CC","SYM",4560,0,4560,2020,3
"90CC","SYM",0,0,0,2020,3
"100CC","SYM",1980,882,1080,2020,3
"110CC","SYM",4219,3394,720,2020,3
"125CC","SYM",13863,13345,804,2020,3
"150CC","SYM",463,499,0,2020,3
"250CC","SYM",262,0,71,2020,3
"50CC","SUZUKI",60,0,0,2020,3
"100CC","SUZUKI",0,0,0,2020,3
"125CC","SUZUKI",1179,1341,0,2020,3
"90CC","SUZUKI",60,0,0,2020,3
"250CC","SUZUKI",0,0,0,2020,3
"50CC","YAMAHA",816,0,864,2020,3
"100CC","YAMAHA",0,0,0,2020,3
"125CC","YAMAHA",10215,8920,1499,2020,3
"150CC","YAMAHA",1888,1444,516,2020,3
"50CC","KYMCO",1500,0,3300,2020,3
"100CC","KYMCO",5014,4923,6,2020,3
"110CC","KYMCO",1800,1506,0,2020,3
"125CC","KYMCO",24051,18271,7021,2020,3
"150CC","KYMCO",6002,3879,3089,2020,3
"250CC","KYMCO",1465,0,1928,2020,3
"90CC","KYMCO",0,0,0,2020,3
"50CC","PGO",407,0,407,2020,3
"100CC","PGO",0,0,0,2020,3
"110CC","PGO",359,236,12,2020,3
"125CC","PGO",959,935,111,2020,3
"150CC","PGO",217,108,106,2020,3
"50CC","SYM",2940,0,2940,2020,2
"90CC","SYM",0,0,0,2020,2
"100CC","SYM",1820,1109,720,2020,2
"110CC","SYM",3594,2815,744,2020,2
"125CC","SYM",10621,9352,1235,2020,2
"150CC","SYM",487,467,0,2020,2
"250CC","SYM",62,0,60,2020,2
"50CC","SUZUKI",0,0,36,2020,2
"100CC","SUZUKI",0,0,0,2020,2
"125CC","SUZUKI",926,397,720,2020,2
"90CC","SUZUKI",0,0,33,2020,2
"250CC","SUZUKI",0,0,0,2020,2
"50CC","YAMAHA",672,0,672,2020,2
"100CC","YAMAHA",0,0,0,2020,2
"125CC","YAMAHA",7759,5719,2237,2020,2
"150CC","YAMAHA",1416,761,655,2020,2
"50CC","KYMCO",3624,0,3519,2020,2
"100CC","KYMCO",3927,3763,0,2020,2
"110CC","KYMCO",1252,1242,2,2020,2
"125CC","KYMCO",22582,16139,8057,2020,2
"150CC","KYMCO",5385,3166,1728,2020,2
"250CC","KYMCO",1733,0,1646,2020,2
"90CC","KYMCO",0,2,0,2020,2
"50CC","PGO",348,0,348,2020,2
"100CC","PGO",0,0,0,2020,2
"110CC","PGO",214,254,0,2020,2
"125CC","PGO",1212,1216,55,2020,2
"150CC","PGO",220,117,100,2020,2
"50CC","SYM",3420,0,3420,2020,1
"90CC","SYM",0,0,0,2020,1
"100CC","SYM",2440,991,1440,2020,1
"110CC","SYM",4771,2612,2212,2020,1
"125CC","SYM",10791,7920,2468,2020,1
"150CC","SYM",372,367,0,2020,1
"250CC","SYM",167,0,337,2020,1
"50CC","SUZUKI",0,0,0,2020,1
"100CC","SUZUKI",0,0,0,2020,1
"125CC","SUZUKI",625,242,480,2020,1
"90CC","SUZUKI",0,0,0,2020,1
"250CC","SUZUKI",0,0,0,2020,1
"50CC","YAMAHA",624,0,624,2020,1
"100CC","YAMAHA",0,0,0,2020,1
"125CC","YAMAHA",6079,3694,2188,2020,1
"150CC","YAMAHA",973,527,446,2020,1
"50CC","KYMCO",2258,0,63,2020,1
"100CC","KYMCO",2985,2896,17,2020,1
"110CC","KYMCO",1440,1425,10,2020,1
"125CC","KYMCO",20544,13889,2616,2020,1
"150CC","KYMCO",4560,2240,1991,2020,1
"250CC","KYMCO",1468,0,1140,2020,1
"90CC","KYMCO",0,0,0,2020,1
"50CC","PGO",86,0,86,2020,1
"100CC","PGO",0,0,0,2020,1
"110CC","PGO",252,292,3,2020,1
"125CC","PGO",1034,1104,35,2020,1
"150CC","PGO",217,109,105,2020,1
"50CC","SYM",0,0,0,2019,12
"90CC","SYM",0,0,0,2019,12
"100CC","SYM",0,43,0,2019,12
"110CC","SYM",1307,1218,88,2019,12
"125CC","SYM",10302,9999,1072,2019,12
"150CC","SYM",229,303,0,2019,12
"250CC","SYM",210,0,172,2019,12
"50CC","SUZUKI",0,0,108,2019,12
"100CC","SUZUKI",0,0,0,2019,12
"125CC","SUZUKI",600,292,240,2019,12
"90CC","SUZUKI",0,0,79,2019,12
"250CC","SUZUKI",0,0,0,2019,12
"50CC","YAMAHA",624,0,624,2019,12
"100CC","YAMAHA",0,0,0,2019,12
"125CC","YAMAHA",7974,6620,1514,2019,12
"150CC","YAMAHA",2352,1964,389,2019,12
"50CC","KYMCO",903,0,2323,2019,12
"100CC","KYMCO",2658,2519,126,2019,12
"110CC","KYMCO",860,986,10,2019,12
"125CC","KYMCO",14555,14138,465,2019,12
"150CC","KYMCO",2858,1610,2103,2019,12
"250CC","KYMCO",780,0,760,2019,12
"90CC","KYMCO",0,0,0,2019,12
"50CC","PGO",0,0,0,2019,12
"100CC","PGO",0,0,0,2019,12
"110CC","PGO",96,191,0,2019,12
"125CC","PGO",716,822,0,2019,12
"150CC","PGO",111,62,50,2019,12
"50CC","SYM",7560,0,7560,2019,11
"90CC","SYM",0,0,0,2019,11
"100CC","SYM",5724,3916,1800,2019,11
"110CC","SYM",3025,435,2530,2019,11
"125CC","SYM",9766,7501,2692,2019,11
"150CC","SYM",251,278,0,2019,11
"250CC","SYM",219,2,88,2019,11
"50CC","SUZUKI",0,0,174,2019,11
"100CC","SUZUKI",0,0,0,2019,11
"125CC","SUZUKI",510,310,432,2019,11
"90CC","SUZUKI",0,0,51,2019,11
"250CC","SUZUKI",0,0,0,2019,11
"50CC","YAMAHA",624,0,624,2019,11
"100CC","YAMAHA",0,0,0,2019,11
"125CC","YAMAHA",8916,7160,1612,2019,11
"150CC","YAMAHA",2268,1840,428,2019,11
"50CC","KYMCO",3719,0,2719,2019,11
"100CC","KYMCO",3195,3223,283,2019,11
"110CC","KYMCO",2238,2275,10,2019,11
"125CC","KYMCO",15649,13482,2730,2019,11
"150CC","KYMCO",4154,2356,904,2019,11
"250CC","KYMCO",80,0,110,2019,11
"90CC","KYMCO",0,0,0,2019,11
"50CC","PGO",0,0,26,2019,11
"100CC","PGO",0,0,0,2019,11
"110CC","PGO",333,349,10,2019,11
"125CC","PGO",1210,1201,26,2019,11
"150CC","PGO",212,59,202,2019,11
"50CC","SYM",3420,0,3420,2019,10
"90CC","SYM",0,0,0,2019,10
"100CC","SYM",2449,2547,0,2019,10
"110CC","SYM",1656,762,970,2019,10
"125CC","SYM",12081,10457,1428,2019,10
"150CC","SYM",462,409,0,2019,10
"250CC","SYM",233,0,335,2019,10
"50CC","SUZUKI",0,0,81,2019,10
"100CC","SUZUKI",0,0,0,2019,10
"125CC","SUZUKI",450,386,120,2019,10
"90CC","SUZUKI",30,0,300,2019,10
"250CC","SUZUKI",0,0,0,2019,10
"50CC","YAMAHA",688,0,688,2019,10
"100CC","YAMAHA",0,0,0,2019,10
"125CC","YAMAHA",10126,8905,1500,2019,10
"150CC","YAMAHA",2735,2561,317,2019,10
"50CC","KYMCO",1642,0,1222,2019,10
"100CC","KYMCO",3340,3254,3956,2019,10
"110CC","KYMCO",2648,2470,818,2019,10
"125CC","KYMCO",19914,15521,502,2019,10
"150CC","KYMCO",3904,2625,306,2019,10
"250CC","KYMCO",172,0,160,2019,10
"90CC","KYMCO",0,0,0,2019,10
"50CC","PGO",0,0,63,2019,10
"100CC","PGO",0,0,0,2019,10
"110CC","PGO",352,418,4,2019,10
"125CC","PGO",1798,1644,22,2019,10
"150CC","PGO",288,82,209,2019,10
"50CC","SYM",6300,0,6300,2019,9
"90CC","SYM",0,0,0,2019,9
"100CC","SYM",3427,2794,720,2019,9
"110CC","SYM",2499,1039,1553,2019,9
"125CC","SYM",12773,12369,1227,2019,9
"150CC","SYM",545,640,0,2019,9
"250CC","SYM",216,1,113,2019,9
"50CC","SUZUKI",240,0,72,2019,9
"100CC","SUZUKI",0,0,0,2019,9
"125CC","SUZUKI",471,467,0,2019,9
"90CC","SUZUKI",120,0,278,2019,9
"250CC","SUZUKI",0,0,0,2019,9
"50CC","YAMAHA",656,0,656,2019,9
"100CC","YAMAHA",0,0,0,2019,9
"125CC","YAMAHA",10797,10103,694,2019,9
"150CC","YAMAHA",2663,2479,184,2019,9
"50CC","KYMCO",1735,0,1735,2019,9
"100CC","KYMCO",3355,3000,192,2019,9
"110CC","KYMCO",2120,2128,0,2019,9
"125CC","KYMCO",13802,13112,1153,2019,9
"150CC","KYMCO",3259,2714,296,2019,9
"250CC","KYMCO",212,0,174,2019,9
"90CC","KYMCO",0,0,0,2019,9
"50CC","PGO",63,0,0,2019,9
"100CC","PGO",0,0,0,2019,9
"110CC","PGO",351,479,10,2019,9
"125CC","PGO",2120,2281,29,2019,9
"150CC","PGO",232,87,100,2019,9
"50CC","SYM",3289,0,3289,2019,8
"90CC","SYM",0,0,0,2019,8
"100CC","SYM",3105,2335,720,2019,8
"110CC","SYM",2357,739,1474,2019,8
"125CC","SYM",12321,10383,1854,2019,8
"150CC","SYM",448,359,0,2019,8
"250CC","SYM",241,1,242,2019,8
"50CC","SUZUKI",96,0,322,2019,8
"100CC","SUZUKI",0,0,0,2019,8
"125CC","SUZUKI",120,411,0,2019,8
"90CC","SUZUKI",192,0,63,2019,8
"250CC","SUZUKI",0,0,0,2019,8
"50CC","YAMAHA",1008,0,1008,2019,8
"100CC","YAMAHA",0,0,0,2019,8
"125CC","YAMAHA",11670,9840,1836,2019,8
"150CC","YAMAHA",2348,2000,348,2019,8
"50CC","KYMCO",1545,0,1965,2019,8
"100CC","KYMCO",3761,3728,416,2019,8
"110CC","KYMCO",2406,2473,6,2019,8
"125CC","KYMCO",15804,14532,455,2019,8
"150CC","KYMCO",3520,2560,1021,2019,8
"250CC","KYMCO",2216,0,2708,2019,8
"90CC","KYMCO",413,0,0,2019,8
"50CC","PGO",135,0,109,2019,8
"100CC","PGO",0,0,0,2019,8
"110CC","PGO",390,308,0,2019,8
"125CC","PGO",1652,1432,6,2019,8
"150CC","PGO",167,81,100,2019,8
"50CC","SYM",6480,0,6480,2019,7
"90CC","SYM",0,0,0,2019,7
"100CC","SYM",3169,3249,0,2019,7
"110CC","SYM",1925,689,1496,2019,7
"125CC","SYM",13501,12805,811,2019,7
"150CC","SYM",304,412,0,2019,7
"250CC","SYM",246,1,309,2019,7
"50CC","SUZUKI",264,0,315,2019,7
"100CC","SUZUKI",0,0,0,2019,7
"125CC","SUZUKI",361,500,0,2019,7
"90CC","SUZUKI",336,0,275,2019,7
"250CC","SUZUKI",0,0,0,2019,7
"50CC","YAMAHA",1056,0,1056,2019,7
"100CC","YAMAHA",0,0,0,2019,7
"125CC","YAMAHA",14338,11080,3252,2019,7
"150CC","YAMAHA",2800,2160,640,2019,7
"50CC","KYMCO",1206,0,869,2019,7
"100CC","KYMCO",5182,4327,725,2019,7
"110CC","KYMCO",2170,2199,0,2019,7
"125CC","KYMCO",16492,16502,498,2019,7
"150CC","KYMCO",2480,2262,606,2019,7
"250CC","KYMCO",2730,0,2168,2019,7
"90CC","KYMCO",0,0,0,2019,7
"50CC","PGO",56,0,56,2019,7
"100CC","PGO",0,0,0,2019,7
"110CC","PGO",934,651,4,2019,7
"125CC","PGO",2296,2209,19,2019,7
"150CC","PGO",250,116,150,2019,7
